"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"akcja";0,00459395687898668;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"alastor";0,00188328501606961;0,00197402891973494;0;0;0;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"albus";0,00397441215248159;0;0,00455046055352953;0;0,00249769723715954;0,05733648571424;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;0,00987014459867468;0;0;0,00295885001413603;0,0279681246647517;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusie";0;0,0024076556808329;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"alice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0536498213232359;0,0169868577842085;0,0198055287528069;0,00888508898594303
"amos";0,00229697843949334;0;0;0;0;0,0146193286426568;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglia";0;0;0;0,0115446460089123;0;0;0;0;0;0;0,00513095378173878;0,0451350002156344;0;0;0;0;0;0;0
"animagiem";0,00114848921974667;0;0;0;0;0;0,00648936566122595;0;0;0;0;0;0;0;0;0;0;0;0
"ara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00775161697719233;0,0245435328471807;0;0
"aragog";0;0;0;0,00469353686913813;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aresztowac";0;0;0;0;0,00360880834827065;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"argument";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00818117761572692;0;0
"armia";0;0;0;0;0;0;0;0;0;0;0,0125160983177017;0;0;0;0;0;0;0,0286161014400316;0
"artur";0,000941642508034805;0,00197402891973494;0;0;0;0;0;0,00908861779086153;0;0;0;0;0;0;0;0;0;0;0
"artykul";0,00564985504820883;0,00197402891973494;0;0;0;0;0;0,00605907852724102;0;0;0;0;0;0;0;0;0;0;0
"aslan";0;0;0;0;0;0;0;0;0;0,0271727501625049;0,0368157685246059;0;0,00513225459690316;0,0325786596151244;0;0;0;0;0
"aslana";0;0;0;0;0;0;0;0;0;0,0164469067192328;0,0160208575406785;0,056371695346523;0,0189836188666944;0,0482018844267371;0,0266074402035589;0;0;0;0
"aslanie";0;0;0;0;0;0;0;0;0;0,00713830222734854;0,00625804915885084;0;0;0;0;0;0;0;0
"astronomia";0;0;0;0;0;0;0;0,00369502561256381;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"atak";0,000441275641245964;0;0;0;0,00415975837814529;0;0,00124668083261097;0;0,0178275359063369;0,00137134891587207;0;0;0,00284914957407211;0;0,00998342010754868;0,00297834728745486;0;0;0
"atakowac";0,000681046470493714;0,00142772380915954;0;0;0;0;0,00192407534321301;0,00876450247352092;0;0,00423296575506862;0;0;0;0;0;0;0;0;0
"aurora";0,00229697843949334;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avada";0,00188328501606961;0,00197402891973494;0;0;0,00295885001413603;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanie";0,00188328501606961;0;0;0;0;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanu";0,000794882430496317;0;0;0,00324845016393582;0,00249769723715954;0;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0;0
"bac";0;0;0;0;0,00295885001413603;0;0,00266030470801441;0;0;0;0;0;0;0;0;0;0,0134154408701382;0;0
"bajka";0;0,0024076556808329;0;0;0;0;0;0;0;0,00713830222734854;0;0;0;0;0;0;0;0;0
"bal";0,00317952972198527;0;0;0;0;0,00168636722688941;0;0;0;0;0;0;0,00513225459690316;0;0;0;0;0;0,00888508898594303
"banda";0;0,00722296704249871;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardzo";0,00294017859392226;0;0;0;0;0,00249507128690537;0,00332260741802683;0;0;0,00182743407991476;0;0;0,0113901713200166;0;0;0;0;0,00732583706045123;0
"baron";0;0;0;0;0;0;0;0;0;0,00713830222734854;0;0;0,0593228769578737;0;0;0;0;0;0
"bawic";0;0;0;0;0,00360880834827065;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"bell";0;0;0;0;0,00855999741580543;0;0;0;0;0;0;0;0;0;0;0,0735465171763713;0,0582166071100118;0,0933303683000813;0,0761264592314713
"bellatriks";0;0,00789611567893975;0;0;0,00295885001413603;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"belle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,038133150540178;0,0268308817402764;0;0,0421022136398803
"belli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0482848391909123;0,0509605733526254;0,0594165862584208;0,0621956229016012
"bestia";0,00229697843949334;0;0;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"bezpieczny";0;0,00394805783946987;0;0,00384821533630409;0;0;0;0;0;0;0;0;0;0;0;0;0,00670772043506909;0;0
"bialy";0;0;0;0;0;0;0;0;0;0,00356915111367427;0,0438063441119559;0;0;0;0;0;0;0;0
"biblioteka";0,000794882430496317;0;0,00682569083029429;0,00324845016393582;0;0,00505910168066823;0;0;0;0;0;0;0;0;0;0;0;0;0
"bic";0;0;0;0,00469353686913813;0;0;0,0129787313224519;0;0;0;0;0;0;0;0;0;0;0;0
"biec";0,00136209294098743;0,00142772380915954;0,00389878424808952;0;0;0;0,00192407534321301;0;0;0;0;0;0;0;0;0;0;0;0,00761264592314713
"bill";0,00470821254017403;0,00592208675920481;0;0;0,00591770002827206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,00285544761831909;0;0;0;0;0;0;0;0,00846593151013724;0,00556647230796596;0;0;0;0;0;0,00485138392583431;0,0254537368091131;0
"biuro";0;0;0;0,00769643067260818;0;0,00199772319033941;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"blacka";0;0;0;0;0;0;0,00266030470801441;0;0;0;0;0;0;0;0;0,00635552509002966;0;0;0,0105255534099701
"blackiem";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;0,0024076556808329;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"blad";0,000941642508034805;0;0;0;0;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"bledny";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"bliski";0,000681046470493714;0;0;0;0,00213999935395136;0,00144486077911195;0;0,00219112561838023;0;0,00211648287753431;0;0;0;0;0;0;0;0;0
"blisko";0;0;0;0,00469353686913813;0;0;0;0;0;0;0;0;0,0148307192394684;0;0;0;0;0;0
"blizna";0,00564985504820883;0;0,00269530871733039;0;0;0,00399544638067881;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizniak";0,00344546765924001;0;0;0;0;0;0;0;0,0463989644777655;0;0;0;0;0;0;0;0;0;0
"blona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0259834201075487;0;0,00818117761572692;0;0
"blonie";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"blyskawica";0;0;0,00328737602575262;0;0;0;0,00973404849183892;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00285544761831909;0;0,00278323615398298;0;0,00144486077911195;0;0;0,027514277407946;0;0;0;0;0;0;0,00919331464704641;0;0;0
"boisko";0,00229697843949334;0;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boja";0,000441275641245964;0,000925075992174637;0;0,0018033634587335;0;0,00093617968000269;0,00124668083261097;0,00141971275704617;0;0,00137134891587207;0,00120224230582234;0;0;0;0;0;0;0;0
"bol";0,00282492752410442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0;0,0117311234040636;0
"bolec";0,00376657003213922;0;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0,00635552509002966;0;0;0
