"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"<84>";10;5;12;0;3;0;0;0;9;3;2;2;0;0;0;0;0;0;0;0
"<84><94>";0;0;3;1;2;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0
"<84>anna<94>";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"<84>chce";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<84>jestes";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"<84>kocham";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<84>kurier<94>";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"<84>kuriera<94>";0;0;0;0;0;0;0;0;5;8;5;2;0;0;0;0;0;0;0;0
"<84>kurierze<94>";0;0;0;0;0;0;0;0;2;1;4;4;0;0;0;0;0;0;0;0
"<84>niech";0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"<84>samuel";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"<84>ty<94>";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"<85>";0;1;0;0;0;0;0;0;0;0;0;0;10;19;28;8;23;11;24;0
"<94>";2;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"<96>";53;37;46;178;125;43;33;32;0;434;0;447;0;0;0;0;0;0;0;0
"<97>";0;0;0;0;0;0;0;0;5;0;0;0;450;857;586;461;433;575;532;0
"<a9>";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"<e0><e2><f2><ee><f0><fb>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<e0><e4><f0><e5><f1>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<e0><ed><ed><ee><f2><e0><f6><e8><ff>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<e1><e8><e1><eb><e8><ee><f2><e5><ea><e0>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<e6><e0><ed><f0>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<ea><ed><e8><e3><e8>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0
"<ed><e0><e7><e2><e0><ed><e8><e5>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<f4><fd><ed><f2><e5><e7><e8>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"<fd><eb><e5><ea><f2><f0><ee><ed><ed><e0><ff>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"aard";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"abrams";0;0;0;0;0;3;15;2;0;0;0;0;0;0;0;0;0;0;0;0
"abramsa";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"absolutny";0;2;2;0;1;0;0;0;0;0;3;0;0;0;0;1;2;1;2;2
"absurd";0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abym";0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"abysmy";1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ach";0;0;0;0;0;1;1;1;0;0;0;0;2;2;1;1;3;0;3;1
"acz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2
"aczkolwiek";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adas";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"adept";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"adeptka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;16;0
"admiral";0;0;0;0;4;0;3;4;0;0;0;0;0;0;0;0;1;0;0;0
"adrenalina";0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"adres";1;1;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0
"adresowac";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adwokat";0;0;0;0;0;0;0;0;2;4;0;9;0;0;0;13;0;0;0;1
"adwokat<94>";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"adwokata";0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;0;1;0
"aen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;0;0
"aep";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;2;0
"afekt";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"afera";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;2
"afirmacja";0;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"afront";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
"agent";0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;15;5;0;0;0
"agresja";2;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agresywny";2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"aha";0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;0;2;1;1;1
"akademia";0;0;0;0;2;11;0;2;0;0;0;0;0;0;0;1;2;3;5;0
"akcent";0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;2;1
"akcentujac";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"akceptacja";0;3;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akceptowac";0;5;6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcja";0;0;0;2;3;0;5;4;2;1;2;0;1;0;0;1;0;0;0;1
"akordeon";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"aksamitka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"aksamitny";0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;0;0;0;1
"akt";0;2;0;0;1;3;4;0;0;0;0;0;0;0;0;0;2;1;0;3
"akta";0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"aktor";0;1;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
"aktualny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"aktywny";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
"aktywowac";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"akurat";0;1;1;0;5;2;2;2;2;1;1;3;2;1;1;0;0;3;0;1
"akwarelka";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
"alarm";0;0;0;0;1;0;4;0;0;0;0;1;0;0;0;2;0;1;0;0
"alarmowy";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"albert";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"albowiem";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;1
"album";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"aldersbergu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"aleja";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"alejka";0;0;0;0;0;0;0;0;1;0;3;0;3;0;0;0;0;0;0;0
"alem";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0
"ales";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"alex";0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
"alez";0;1;1;0;1;0;0;1;4;0;0;1;0;2;0;0;1;3;0;0
"ali";0;0;0;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0
"alkohol";0;0;2;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"all";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"ambasador";0;0;0;0;11;23;1;2;0;0;0;2;0;0;0;0;11;0;1;0
"ambicja";0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;2;2;0;0;0
"ambitny";0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0
"ambra";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
