"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"<84>kuriera<94>";0;0;0;0;0;0;0;0;0,0224124333483336;0,048754395693173;0,0247540308623386;0,00963455641032101;0;0;0;0;0;0;0;0
"<84>kurierze<94>";0;0;0;0;0;0;0;0;0,00896497333933344;0,00609429946164662;0,0198032246898709;0,019269112820642;0;0;0;0;0;0;0;0
"abym";0;0,00527710930656219;0,00535006473476351;0;0;0;0;0,00420639147624522;0;0;0;0;0;0,00599981419867535;0;0;0;0;0;0
"admiral";0;0;0;0;0,0162942322448236;0;0,0140439199287542;0,0168255659049809;0;0;0;0;0;0;0;0;0,00509194757650737;0;0;0
"adrenalina";0;0;0,00535006473476351;0;0,0040735580612059;0,00455280018605365;0;0;0;0;0;0;0;0;0;0;0;0,00566323925582283;0;0
"adres";0,00576160817589916;0,00527710930656219;0;0;0;0;0;0;0;0;0,0297048370348063;0,0048172782051605;0;0;0;0;0;0;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00753872758080312;0,0234538191402764;0,0356436330355516;0;0,00580482023721841;0
"aen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00753872758080312;0,0058634547850691;0,00509194757650737;0,0169897177674685;0;0
"aep";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00376936379040156;0,0058634547850691;0,0152758427295221;0;0,0116096404744368;0
"agresja";0,0115232163517983;0,0105542186131244;0,00535006473476351;0;0;0,013658400558161;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akceptacja";0;0,0158313279196866;0,0428005178781081;0,0117565979487968;0,0040735580612059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akceptowac";0;0,0263855465328109;0,032100388408581;0;0;0,00455280018605365;0,0140439199287542;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktor";0;0,00527710930656219;0;0,00587829897439839;0;0;0;0;0;0,00609429946164662;0,0148524185174032;0;0;0;0;0;0;0;0;0
"alkohol";0;0;0,010700129469527;0;0,0040735580612059;0;0;0;0;0;0,00495080617246772;0,0048172782051605;0;0;0;0;0;0;0;0
"ambulatorium";0;0;0;0;0,0203677903060295;0,0318696013023756;0,0421317597862626;0,0294447403337166;0;0;0;0;0;0;0;0;0;0;0;0
"andrzejewska";0,0172848245276975;0,0263855465328109;0,021400258939054;0,0176348969231952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aneta";0,00576160817589916;0,0105542186131244;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"angielski";0;0;0,00535006473476351;0;0,0203677903060295;0;0;0;0;0,00609429946164662;0;0,00963455641032101;0;0;0;0;0;0;0;0
