"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"<84>";0,053089481722384;0,0267596780341571;0,0574751345603201;0;0,016524101186092;0;0;0;0,0417450977332851;0,0197302700729457;0,00979205996212861;0,0104088826369084;0;0;0;0;0;0;0;0
"<85>";0;0,00535193560683143;0;0;0;0;0;0;0;0;0;0;0,0183601124289911;0,021141947645505;0,0376541064667814;0,0144670653339246;0,0466324327951063;0,0169675718130233;0,0359300954442771;0
"<97>";0;0;0;0;0;0;0;0;0,0231917209629362;0;0;0;0,826205059304602;0,953613112220934;0,788046656769068;0,833664639867406;0,877906234794828;0,886941253862583;0,79645044901481;0
"artysta";0;0;0;0,00541773809380067;0;0;0;0;0,00463834419258724;0,0065767566909819;0,0195841199242572;0;0;0,00333820225981657;0,00672394758335383;0;0;0,00154250652845667;0,00449126193053464;0
"awantura";0;0;0;0;0;0,00609183453865144;0,00480701125413586;0;0,00927668838517447;0;0,00979205996212861;0,00520444131845418;0;0,00111273408660552;0,00134478951667077;0;0;0;0;0,0124124703745292
"beznadziejny";0;0;0;0;0,0220321349147894;0,0243673381546058;0,00480701125413586;0;0;0,0065767566909819;0,0048960299810643;0;0,00367202248579823;0;0;0,00180838316674058;0;0;0;0,00620623518726461
"bezwzgledny";0,0106178963444768;0;0,00478959454669334;0,00541773809380067;0;0,00609183453865144;0,00480701125413586;0,0055310798949262;0;0,0065767566909819;0;0;0;0;0;0,00542514950022173;0;0;0;0
"biedny";0,0053089481722384;0;0,01436878364008;0;0,00550803372869734;0;0,00480701125413586;0,0165932396847786;0;0;0;0;0;0,00111273408660552;0,00134478951667077;0;0;0;0,00149708731017821;0
"boj";0,0053089481722384;0;0;0;0;0;0;0;0;0;0;0;0,00183601124289911;0,0044509363464221;0,00537915806668306;0,00180838316674058;0;0,00154250652845667;0,00299417462035643;0,0186187055617938
"boski";0,0159268445167152;0,00535193560683143;0,00478959454669334;0,016253214281402;0;0;0;0;0,0185533767703489;0,0065767566909819;0;0,0104088826369084;0;0,00111273408660552;0;0;0;0;0;0
"bosy";0,0212357926889536;0;0,00478959454669334;0,00541773809380067;0;0;0,00480701125413586;0;0,00463834419258724;0;0;0;0,00183601124289911;0;0;0;0;0;0,00449126193053464;0,00620623518726461
"bron";0;0;0;0;0;0;0,00961402250827173;0;0;0;0,0048960299810643;0,00520444131845418;0,00367202248579823;0,00111273408660552;0;0,00361676633348116;0,0040549941560962;0,00154250652845667;0;0
"brzuch";0;0;0,00478959454669334;0;0;0;0;0,0055310798949262;0;0;0,0048960299810643;0,0156133239553625;0;0;0,00268957903334153;0,00180838316674058;0,0121649824682886;0;0;0,0124124703745292
"budynek";0;0;0;0;0;0;0;0,0055310798949262;0,00463834419258724;0,0131535133819638;0,00979205996212861;0,0208177652738167;0,00183601124289911;0;0;0,00180838316674058;0;0;0;0,0186187055617938
"but";0;0;0;0;0;0;0,00480701125413586;0;0,00463834419258724;0;0,0048960299810643;0,00520444131845418;0,00183601124289911;0;0;0;0,0020274970780481;0;0,00149708731017821;0,00620623518726461
"bzdura";0;0;0;0,00541773809380067;0;0;0;0;0,0139150325777617;0;0,0048960299810643;0;0,00367202248579823;0,00111273408660552;0,00268957903334153;0,00361676633348116;0;0,00771253264228333;0;0
"chleb";0;0,00535193560683143;0,00478959454669334;0;0;0,00609183453865144;0;0;0,00927668838517447;0;0;0;0,00183601124289911;0;0;0,00180838316674058;0;0,00771253264228333;0,00299417462035643;0
"cios";0;0;0;0;0,0110160674573947;0;0,00480701125413586;0,0110621597898524;0;0;0,0048960299810643;0;0,00367202248579823;0;0;0,00180838316674058;0;0,00154250652845667;0;0,0310311759363231
"czarodziej";0;0;0;0;0;0;0;0;0;0;0;0;0,00367202248579823;0,0222546817321105;0,0255510008167445;0,0488263455019956;0,020274970780481;0,00154250652845667;0,00898252386106928;0,0248249407490585
"czekala";0;0;0;0,00541773809380067;0;0,00609183453865144;0;0,0055310798949262;0;0,0065767566909819;0;0,0104088826369084;0;0;0,00268957903334153;0;0,00608249123414431;0,00308501305691333;0;0
"czesciej";0,0053089481722384;0,0160558068204943;0,00478959454669334;0,00541773809380067;0;0;0,00480701125413586;0,0055310798949262;0;0,0131535133819638;0,0048960299810643;0;0;0;0;0;0;0;0;0
"czosnek";0,0371626372056688;0,0107038712136629;0,0191583781867734;0,0108354761876013;0;0;0;0;0;0;0;0,0104088826369084;0,00183601124289911;0,00111273408660552;0;0;0;0;0;0,00620623518726461
