"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"<84>";0,00599242110103065;0,00295865732964942;0,00638612606225779;0;0,00155887747038604;0;0;0;0,00372724086904331;0,00161341915568026;0,000889288997569702;0,000866838095008107;0;0;0;0;0;0;0;0
"<84><94>";0;0;0,00209778453401716;0,000770272990761067;0,00136553898912438;0;0;0;0,00108832430712168;0,00141331618727926;0;0,000569496916120068;0;0;0;0;0;0;0;0
"<84>anna<94>";0;0;0,00133733015092084;0;0;0;0;0;0;0;0;0,00108915675242209;0;0;0;0;0;0;0;0
"<84>chce";0,001505860423793;0;0;0,00147313884473941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<84>jestes";0;0;0,00133733015092084;0;0;0;0;0;0,00104070429037825;0;0;0;0;0;0;0;0;0;0;0
"<84>kocham";0,001505860423793;0;0;0,00294627768947881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<84>kurier<94>";0;0;0;0;0;0;0;0;0;0;0,00111736565586524;0,00108915675242209;0;0;0;0;0;0;0;0
"<84>kuriera<94>";0;0;0;0;0;0;0;0;0,00363710541179098;0,00755712968230224;0,00390502538662523;0,00152257579992614;0;0;0;0;0;0;0;0
"<84>kurierze<94>";0;0;0;0;0;0;0;0;0,00145484216471639;0,00094464121028778;0,00312402030930018;0,00304515159985228;0;0;0;0;0;0;0;0
"<84>niech";0;0;0,00110183800087206;0;0;0;0;0;0,000857445361580892;0,00111349291870065;0;0;0;0;0;0;0;0;0;0
"<84>samuel";0;0;0;0;0;0;0;0;0,00104070429037825;0,0013514760353488;0;0;0;0;0;0;0;0;0;0
"<84>ty<94>";0;0;0;0;0,00130578934547459;0;0;0;0;0,0013514760353488;0;0;0;0;0;0;0;0;0;0
"<85>";0;0,000591731465929885;0;0;0;0;0;0;0;0;0;0;0,00403888816036469;0,00617875370304056;0,00837420512598329;0,00304416371879646;0,00937826840913305;0,00425679421655767;0,00930389274994038;0
"<94>";0,00181323662737987;0;0,00161030595813205;0;0,000786163522012579;0,000773395204949729;0;0;0,0006265664160401;0;0;0;0;0;0;0;0;0;0;0
"<97>";0;0;0;0;0;0;0;0;0,00207068937169073;0;0;0;0,181749967216411;0,278694311763461;0,17526015013665;0,175419934295646;0,17655609657194;0,222514243138242;0,206236289290345;0
"<a9>";0;0;0;0;0;0;0;0;0,00104070429037825;0,0013514760353488;0;0;0;0;0;0;0;0;0;0
"<e0><e2><f2><ee><f0><fb>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<e0><e4><f0><e5><f1>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<e0><ed><ed><ee><f2><e0><f6><e8><ff>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<e1><e8><e1><eb><e8><ee><f2><e5><ea><e0>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<e6><e0><ed><f0>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<ea><ed><e8><e3><e8>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00123844597021095;0;0,00168844268609883;0;0,00160525841300071;0
"<ed><e0><e7><e2><e0><ed><e8><e5>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<f4><fd><ed><f2><e5><e7><e8>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"<fd><eb><e5><ea><f2><f0><ee><ed><ed><e0><ff>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000619222985105476;0;0,000844221343049416;0;0,000802629206500354;0
"aard";0;0;0;0;0;0;0;0;0;0;0;0;0,00101494900546513;0;0;0;0;0;0;0,00180147944408208
"abrams";0;0;0;0;0;0,0031751340999608;0,0159994091630916;0,00207818192419606;0;0;0;0;0;0;0;0;0;0;0;0
"abramsa";0;0;0;0;0;0;0,00129459395747754;0,00126117239745154;0;0;0;0;0;0;0;0;0;0;0;0
"absurd";0;0;0,00220367600174413;0,00121373197080541;0,00107585125556848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abym";0;0,00103935903978843;0,000934753661387827;0;0;0;0;0,000881521676115172;0;0;0;0;0;0,000571200023342524;0;0;0;0;0;0
"abysmy";0,00124069156580517;0;0,00220367600174413;0,00242746394161083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"acz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000787842715649455;0,00168844268609883;0;0;0,00296850932122148
"aczkolwiek";0,001505860423793;0;0,00133733015092084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adas";0;0;0;0;0;0;0;0;0,00104070429037825;0;0;0,00108915675242209;0;0;0;0;0;0;0;0
"adept";0;0;0,00110183800087206;0;0;0;0;0;0;0;0,000920607330698354;0;0;0;0,000619222985105476;0;0;0;0;0
"adeptka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000844221343049416;0,000801219436231325;0,0128420673040057;0
"admiral";0;0;0;0;0,00365083033787321;0;0,00271464703221438;0,00352608670446069;0;0;0;0;0;0;0;0;0,000716202373500112;0;0;0
"adrenalina";0;0;0,000934753661387827;0;0,000912707584468303;0,000897884027411973;0;0;0;0;0;0;0;0;0;0;0;0,000679721339252741;0;0
"adres";0,00105255126694803;0,00103935903978843;0;0;0;0;0;0;0;0;0,00468603046395028;0,00076128789996307;0;0;0;0;0;0;0;0
"adresowac";0,001505860423793;0,00148698661364698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adwokat";0;0;0;0;0;0;0;0;0,0012531328320802;0,0032546786004882;0;0,0059016393442623;0;0;0;0,00748416810592976;0;0;0;0,00108459869848156
